Contig,HK_CF2,HK_CF35,HK_CF70,V_CF26,V_CF34,V_CF71
Phel_clc_contig_25210,6.24202699,5.229334121,6.203598587,1.96827511,3.92322526,2.307166193
Phel_clc_contig_14132,8.402648427,8.275754376,8.548279399,7.481353842,7.430175695,7.015094976
Phel_clc_contig_20614,6.125016642,6.150057977,6.690323502,1.96827511,4.476135384,2.307166193
Phel_clc_contig_89,11.77730155,11.69241329,11.93097253,10.83332995,11.13565042,10.91891294
Phel_clc_contig_7895,7.495996492,7.514231958,7.783542433,4.766452051,6.138261559,3.683393288
Phel_clc_contig_10160,7.911653836,7.696321471,8.027883886,6.644476415,5.700853047,6.924194922
Phel_clc_contig_10792,5.53003952,5.418975861,5.616360638,3.661304959,2.392647144,4.070088735
Phel_clc_contig_12512,6.795316295,6.847778983,7.053614237,4.766452051,0,4.840150994
Phel_clc_contig_13033,9.491303966,9.101522969,9.463163041,7.358691635,7.31933884,8.386726034
Phel_clc_contig_18084,6.778194118,6.460740926,6.999069838,3.283788458,3.24830712,4.93632699
Phel_clc_contig_353,9.027528414,8.937680425,9.210574187,7.85255635,7.679900179,8.195911533
Phel_clc_contig_7382,7.822602058,7.57530401,7.95094484,5.958230212,5.661005604,6.776113202
Phel_clc_contig_2296,8.286362309,8.334134708,8.567149918,6.644476415,6.819532797,6.970360174
Phel_clc_contig_12053,7.745417523,7.67610588,7.936504263,4.418945512,3.92322526,4.50589728
Phel_clc_contig_8679,9.274924142,9.247748826,9.507800784,6.726136399,7.185294705,7.079697039
Phel_clc_contig_24694,5.467328396,5.481089007,6.051091454,1.96827511,2.392647144,0
Phel_clc_contig_17979,5.570383994,5.281460872,5.850039278,1.96827511,2.737319011,3.442651611
Phel_clc_contig_4963,9.350714475,9.172885498,9.684543684,6.946581156,7.083454861,7.449240281
Phel_clc_contig_3737,9.88333168,9.720788908,10.1728615,7.045337028,6.686919268,7.294529774
Phel_clc_contig_1314,8.322242748,8.092919369,8.635794651,4.913143132,5.620023298,4.93632699
Phel_clc_contig_3237,11.66448168,11.49551095,11.9963927,9.550070484,9.842117262,9.50707569
Phel_clc_contig_5338,11.38802095,11.04001527,11.73994035,8.191320332,8.529200954,8.215211179
Phel_clc_contig_8274,9.411660758,9.319768072,9.729212007,7.758650962,8.180329898,8.116022113
Phel_clc_contig_10050,8.726515525,8.600720228,8.83967432,7.013164087,6.801317768,7.294529774
Phel_clc_contig_1197,12.66600572,12.44117867,12.73269483,10.61222034,10.97937089,11.31525114
Phel_clc_contig_6574,9.858091991,9.618107949,9.955545152,7.95772601,7.959939356,8.386726034
Phel_clc_contig_6393,9.547961814,9.299514387,9.613701814,8.233820969,8.371471741,8.369602581
Phel_clc_contig_657,10.92887941,10.59325077,11.0568113,7.834258027,8.620335676,8.501216593
Phel_clc_contig_10654,8.371592839,8.120500727,8.49013968,6.367454941,4.803459544,6.090324176
Phel_clc_contig_7205,8.823590474,8.679655675,8.827986335,7.572487264,7.533100752,7.559055818
Phel_clc_contig_8035,10.65587369,10.30825415,10.61278079,7.85255635,7.068302137,8.156519486
Phel_clc_contig_11219,6.315075274,5.627417151,6.296991436,4.913143132,4.170325694,4.230433605
Phel_clc_contig_3062,9.099941074,8.404738388,9.183313313,7.504682357,6.450254494,7.365345223
Phel_clc_contig_12736,8.878847318,8.253979342,8.866582865,6.726136399,6.782871128,6.581634455
Phel_clc_contig_562,8.186075107,7.746918018,8.218985509,5.739699614,5.443354688,4.50589728
Phel_clc_contig_21585,5.808246026,5.170229538,5.996447502,3.283788458,1.273277161,2.791543215
Phel_clc_contig_4428,12.28410989,11.79811311,12.50698208,10.41701988,9.473620119,9.850372047
Phel_clc_contig_3383,8.078292801,7.806352416,8.339131148,6.31563506,5.700853047,6.321608863
Phel_clc_contig_20794,7.582373096,7.125674863,7.7754516,5.168172666,5.07008444,5.536512997
Phel_clc_contig_7093,8.295416309,7.651107675,8.439833377,4.207752323,4.874875638,5.814745231
Phel_clc_contig_12972,8.292404465,8.101512989,8.408785301,5.739699614,6.990049489,7.239039004
Phel_clc_contig_12409,7.654516455,7.314918531,7.734302492,4.913143132,6.048447639,6.131538041
Phel_clc_contig_14912,9.06330582,8.705036181,9.216562782,7.137763759,7.709504322,7.953147066
Phel_clc_contig_768,7.275806977,6.942069899,7.428586296,5.57314727,6.017224882,6.210595372
