Contig	HK_CF2	HK_CF35	HK_CF70	V_CF26	V_CF34	V_CF71
Phel_clc_contig_17182	169.6901	138.3994	112.131	5.8261	7.0854	19.7456
Phel_clc_contig_22783	182.1384	138.2739	119.5242	0	2.8342	7.8982
Phel_clc_contig_655	796.0366	667.1529	625.9619	294.2159	361.3558	353.4458
Phel_clc_contig_17176	172.966	158.4755	124.4531	32.0433	22.6733	39.4912
Phel_clc_contig_5294	1606.4869	1515.4923	1275.3358	535.9974	514.4006	691.0952
Phel_clc_contig_4177	575.8981	543.1832	476.8647	209.7381	213.9793	300.1328
Phel_clc_contig_4935	362.3113	371.2818	259.996	64.0866	87.859	120.448
Phel_clc_contig_4975	206.3798	203.2702	168.8126	49.5215	76.5224	82.9314
Phel_clc_contig_19722	263.38	243.7988	220.5653	26.2173	68.0199	49.3639
Phel_clc_contig_20352	147.4142	137.0192	131.8463	20.3912	36.8441	33.5675
Phel_clc_contig_27580	16.3794	16.4373	14.7865	0	1.4171	1.9746
Phel_clc_contig_5925	283.6904	273.9129	250.1383	128.1733	138.874	140.1936
Phel_clc_contig_9439	761.3123	713.3278	688.8046	101.956	114.7836	82.9314
Phel_clc_contig_3095	316.4491	307.6658	255.0672	122.3472	130.3715	126.3717
Phel_clc_contig_6655	590.3119	612.6965	420.1831	14.5651	21.2562	37.5166
Phel_clc_contig_17308	61.5864	58.9735	48.0561	14.5651	9.9196	9.8728
Phel_clc_contig_5839	955.2438	898.4041	740.5573	107.7821	96.3615	102.677
Phel_clc_contig_9499	752.795	649.3353	570.5125	46.6085	19.8391	5.9237
Phel_clc_contig_14944	39.3104	38.0191	32.0374	11.6521	2.8342	11.8473
Phel_clc_contig_8821	526.76	468.1488	454.6849	235.9554	178.5523	244.8452
Phel_clc_contig_10626	446.1736	395.7495	421.4153	154.3905	233.8184	227.0741
Phel_clc_contig_1539	402.2769	283.449	333.9285	52.4345	110.5323	161.9137
Phel_clc_contig_21725	70.7588	51.4449	64.0748	8.7391	17.005	27.6438
Phel_clc_contig_7401	415.3804	291.6049	370.8948	99.043	154.4619	169.812
Phel_clc_contig_14430	238.4834	185.9546	184.8313	43.6954	80.7736	47.3894
Phel_clc_contig_15097	275.8283	206.2816	214.4043	52.4345	113.3665	75.0332
Phel_clc_contig_13974	902.1747	592.6205	547.1006	66.9997	97.7786	63.1858
Phel_clc_contig_2093	1031.244	784.5978	858.8493	515.6061	463.3856	477.843
Phel_clc_contig_3697	4408.0112	2914.6687	3288.7644	751.5615	598.0084	750.332
Phel_clc_contig_17140	68.7933	50.3156	51.7528	20.3912	15.5879	17.771
Phel_clc_contig_8381	2009.4189	1381.359	1373.9125	308.7811	280.5821	236.9469
Phel_clc_contig_4325	552.9669	360.6164	385.6813	107.7821	86.442	45.4148
Phel_clc_contig_10349	651.8983	380.567	536.0107	66.9997	93.5274	63.1858
Phel_clc_contig_2408	729.864	467.0196	528.6174	101.956	133.2057	112.5498
Phel_clc_contig_7999	981.4508	651.9703	754.1116	55.3476	94.9445	45.4148
Phel_clc_contig_8285	155.2763	105.3994	125.6853	34.9563	46.7637	33.5675
Phel_clc_contig_12792	60.9312	49.6883	54.2172	11.6521	15.5879	15.7965
Phel_clc_contig_2528	417.3459	334.392	362.2693	55.3476	51.0149	77.0078
Phel_clc_contig_4994	902.8299	774.6853	814.4898	276.7378	284.8334	365.2932
Phel_clc_contig_7747	311.2077	247.1866	250.1383	8.7391	29.7587	35.542
Phel_clc_contig_9238	710.8639	580.3239	565.5837	128.1733	134.6227	157.9646
Phel_clc_contig_8752	380.001	289.9737	293.2656	58.2606	80.7736	110.5752
Phel_clc_contig_5143	1219.9342	906.1835	1023.9653	471.9107	408.1194	519.3087
Phel_clc_contig_5942	346.5871	258.4794	303.1233	64.0866	66.6028	86.8805
Phel_clc_contig_6709	304.656	235.3919	267.3893	122.3472	127.5373	142.1682
Phel_clc_contig_12417	526.1048	58.4715	310.5165	81.5648	35.427	41.4657
Phel_clc_contig_10803	203.104	111.6731	179.9024	61.1736	36.8441	78.9823
Phel_clc_contig_4105	1460.3831	891.001	1308.6055	565.1276	484.6418	410.708
Phel_clc_contig_5324	1465.6245	958.8832	1234.673	687.4749	590.923	570.6472
Phel_clc_contig_29720	15.069	3.7643	9.8577	0	0	0
Phel_clc_contig_3158	148.7245	77.6693	115.8276	26.2173	36.8441	29.6184
Phel_clc_contig_9166	855.6574	476.4302	661.696	224.3032	172.8839	248.7943
Phel_clc_contig_12811	12.4483	35.2586	39.4307	0	7.0854	0
Phel_clc_contig_25090	4.5862	16.8137	14.7865	0	1.4171	0
Phel_clc_contig_2074	136.2762	409.6773	431.273	104.869	73.6882	84.906
Phel_clc_contig_21596	36.6898	33.7529	59.146	2.913	18.4221	9.8728
Phel_clc_contig_11604	104.8279	86.829	157.7227	23.3042	46.7637	55.2876
Phel_clc_contig_3930	172.966	167.2587	277.2469	52.4345	72.2711	112.5498
Phel_clc_contig_12498	158.5521	151.0724	223.0297	72.8257	46.7637	75.0332
Phel_clc_contig_15642	319.0698	279.3083	518.7598	90.3039	63.7687	84.906
